Match_Id,Player_Id,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082601,40,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,46,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,62,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,67,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,84,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,96,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,232,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,296,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,305,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,308,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,315,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,320,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,345,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,364,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,367,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,374,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,409,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
